0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Pretty much around best video player is plenty nifty tricks included.,My issue really time time videos get frame skip issue audio video sync correctly.,Have not found way make specific videos play correctly yet either.,Other that I choose different one.,,,,,,,,,,,
The great sounding equalizer app needs work.,I love save feature I hate minor adjustment made it save feature pops exit EQ.,This selectable feature instead automatic one.,Also new snap features stay turned activate toggled on.,The VLC media player still one best market many years.,,,,,,,,,,
This app play anything throw it.,That said I find UI often confusing frustrating.,This personal opinion mileage may vary.,I have clear cache storage occasions app seems stuck one album way return full list.,It may I found it.,This particularly frustrating using VLC Android Auto.,,,,,,,,,
No dynamic range compression.,Videos often glitch exit VLC forgets every single time starts beginning.,Yet I intentionally exit video time keeps playing audio seems way stop it clicking rhe video nothing.,You click microscopic triangle.,Mystery meat interface confusing player too.,Videos often freeze though audio continues work.,All said best player yet,,,,,,,,
Instead showing every folder main menu I would like organized parent folder structure directories.,This menu easily cluttered manually organize files folders.,Also I have noticed probable bug.,If I select folder Media library... folder moved another folder that is selected duplicate files main menu parsing.,An option manually parse files would nice fix issue.,,,,,,,,,,
So far app working pretty well me complaint using chromecast leave app unlocked video stop playing find again.,When leave unlocked screen go black save battery life turn back touch it even unlocked stop playing sometimes.,,,,,,,,,,,,,
This great alternative music player Samsung Music.,No ads simple use supports .wav files The negative I auto rescan option takes little bit time scan music I open app most FLAC.,I disable this adding deleting music means I manually rescan changes.,Samsung Music automatically.,However small price pay exceptional multimedia app,,,,,,,,,,
I switched app Google dumped music player favor YouTube Music I advise using unless like paying bucks month features use free via Google Play.,Anyway.,I thoroughly enjoy app complaint seems cannot listen individual tracks consecutively.,It play one go back manually select another one play versus able go next track list.,,,,,,,,,,,
Fantastic app.,Way better player built phone.,But glitch exist December rd Update.,When playing music used able skip songs holding Volume buttons.,Please fix VLC I hate navigating screen order change next song.,I would give stars I really hate bug.,,,,,,,,,
The play audio function needs work.,I frequently need pause video I am listening to often I press play get error message says the location file cannot played I go files find video play again.,It happens every time I try play paused audio.,Even frustrating error happens video progress saved I manually find I left off frustrating.,,,,,,,,,,,
Wonderful app best media app I have found top free software.,Unfortunately I have experienced host issues recent versions released November .,If issues SMB login SD card file discovery seeking certain media files download older version .. temporary workaround.,,,,,,,,,,,,
I really like VLC.,But two things I would improve.,On PC version go .,able Android sometimes buses I cannot hear.,Also I skip ahead AV sync goes out.,It takes forever use plus minus sync back.,It would nice able type number like I players I downloaded specifically reason.,,,,,,,,
Found app replace Google Play Music going away play music I downloaded Android phone.,So far good.,Really appreciate pauseplay button lock screen.,Would like next version ignore A The titles alphabetizing.,This would make much easier find artists music.,Thanks.,Looking forward exploring app more.,,,,,,,,
Overall great app.,With one critical exception Would please allow time skip ahead rewind adjusted.,The second doubletap ahead painful limitation otherwise great AudioVideo player.,There selection various times s s min.,Also triple tap skip ahead feature would triple whatever time chosen becomes sec sec min respectively.,Surely easy fix what is clearly oversight.,,,,,,,,,
Good player easy use bugs I wish options.,If possible add options first create border phones notches.,Second able see properties file.,Third able rename file app.,Finally play avi make playlists it.,Well folder settings went drain still good player,,,,,,,,,
Long time user VLC Android PC well probably far back one earliest releases.,It is fairly simple use yet packs advanced features.,Will keep using recommending.,Though biggest annoyance pause playback switch another app.,When switching back VLC resume playlist gone reselect files folders playlists.,Especially annoying large music collections.,,,,,,,,,
This really good universal media player.,I like allows sort music files artist genre etc.,well add playlist.,The UI easy navigate I need do.,My one issue half music files showing Audio screen.,When I navigate Directory I find play files otherwise visible stored folder SD card I am sure appear Audio screen.,It appear format issue either nearly music files card .mps.,If anyone solution please let know otherwise best musicmedia player I get Android device.,,,,,,,
The last update done buggy comes resuming playback.,It sometimes forgets were times asks want resume click several times get play back.,I love program I use everything.,Please fix bug goes back way use worked.,Thank you.,,,,,,,,,,
